source_row_number,legajo_canonico,row_kind,raw_ubicacion,ncp,ncp_formatted,sec,gru,nmanz,nparc,lon,lat,geolocation_source,location_verification_status,zonificacion,fecha_de_visado,tipo,destino_uso,relevamiento_o_existente,a_contruir_obra_nueva,ampliacion_de_obra_existente,proyectado_no_iniciado,m_existentes_relevados_vivienda,m_existentes_relevados_local,m_a_construir_vivienda,m_a_construir_local
3,2,detail,"Craviotto Nº 675, 677",0100010000000576--009--,0100010000000576--009--,0,0,576,9,-58.13951611,-32.23111639,automatic,verified_close,Urbana,2024-08-01,Vivienda multifamiliar,vivienda,2,,,,69.29,,,
4,3,detail,Girard N° 275,0100011020080259--002--,0100011020080259--002--,102,8,259,2,-58.15315090,-32.23787371,automatic,missing_address_point,Urbana,2024-08-01,Vivienda unifamiliar,vivienda,,1,,,,,99.705,
5,4,detail,Bvard Ferrari Nº 399,0100010000000136--012--,0100010000000136--012--,0,0,136,12,-58.13594970,-32.22724970,automatic,verified_close,Urbana,2024-08-01,Vivienda unifamiliar,vivienda,,,1,,,,48.7,
6,5,detail,Brovatti Nº 339,0100010112910000--046--,0100010112910000--046--,11,291,0,46,-58.17607134,-32.23345015,automatic,missing_address_point,Quintas,2024-09-01,Vivienda unifamiliar,vivienda,,1,,,,,214.35,
7,6,detail,"Paso de los Andes Nº 2194, 2196",0100010123270005--016--,0100010123270005--016--,12,327,5,16,-58.16358551,-32.23085018,automatic,missing_address_point,Urbana,2024-09-01,Vivienda multifamiliar,vivienda,2,,,,46.145,,,
8,7,detail,Alvear Nº 97,0100010000000076--012--,0100010000000076--012--,0,0,76,12,-58.14456873,-32.22354575,automatic,verified_close,Centro,2024-09-01,Vivienda unifamiliar + Local comercial,vivienda,3,,,,9.12,,,
9,8,detail,Calle Privada s/N° - Los Bretes,0100010170030001--018--,0100010170030001--018--,17,3,1,18,-58.12944137,-32.24202219,automatic,missing_address_point,Urbana,2024-09-01,Vivienda unifamiliar,vivienda,,1,,,,,163.6,
10,9,detail,9 de Mayo Nº 289,0100011020080249--019--,0100011020080249--019--,102,8,249,19,-58.15376091,-32.23864688,automatic,review_large_gap,Urbana,2024-09-01,Galpòn / Depòsito,galpòn / depòsito,,1,,,,,,242.4
11,10,detail,9 de Mayo Nº 283,0100011020080249--018--,0100011020080249--018--,102,8,249,18,-58.15384150,-32.23856211,automatic,review_large_gap,Urbana,2024-10-01,Galpòn / Depòsito,galpòn / depòsito,,1,,,,,,242.4
12,11,detail,Alvear N° 375,0100010000000613--008--,0100010000000613--008--,0,0,613,8,-58.14863488,-32.21942445,automatic,verified_close,Centro,2024-10-01,Vivienda multifamiliar,vivienda,,4,,,,,133.38,
13,12,detail,Calle Pùblica s/Nº,0100010162230002--015--,0100010162230002--015--,16,223,2,15,-58.18445436,-32.25557422,automatic,missing_address_point,Quintas,2024-01-15,Vivienda unifamiliar,vivienda,1,,,,45.5,,,
14,13,detail,Bvard Sanguinetti Nº 436,0100010000000515--003--,0100010000000515--003--,0,0,515,3,-58.15418903,-32.22184803,automatic,verified_close,Urbana,2024-10-01,Vivienda unifamiliar + Local comercial,vivienda,1,,,,271,110.6,,
15,14,detail,Pte Illía N° 203,,,,,,,,,automatic,missing_cadastral_point,Urbana 1,2024-10-01,Vivienda unifamiliar,vivienda,1,,,,47.65,,,
16,15,detail,"Ruta N° 130 ex 26, km",,,,,,,,,automatic,missing_both_points,Periurbana,2024-12-01,Vivienda multifamiliar,vivienda,2,,,,184.105,,,
17,16,detail,Esteva Berga N° 105 / 107,0100010000000141--002--,0100010000000141--002--,0,0,141,2,-58.13778778,-32.22289275,automatic,verified_close,URBANA,2024-01-16,Vivienda multifamiliar,vivienda,2,,,,141.555,,,
18,17,detail,12 de Abril Nª 1324,0100010000000278--014--,0100010000000278--014--,0,0,278,14,-58.15562474,-32.23385873,automatic,verified_close,Urbana,2024-01-17,Galpón / Depósito,galpón / depósito,1,,,,,215.38,,
19,18,detail,Ruta N° 135,0100010112680001--011--,0100010112680001--011--,11,268,1,11,-58.17399825,-32.24046544,automatic,missing_address_point,Periurbana,2024-01-23,Vivienda multifamiliar,vivienda,1,7,,,109.84,,487.18,
20,19,detail,Alberdi Nº 3227,0100010112270006--006--,0100010112270006--006--,11,227,6,6,-58.19166189,-32.24051212,automatic,missing_address_point,Periurbana,2024-01-22,Vivienda unifamiliar,vivienda,1,,,,91,,,
21,20,detail,Noailles Nº 572,0100010000000079--017--,0100010000000079--017--,0,0,79,17,-58.14122071,-32.22661345,automatic,verified_close,URBANA,2024-01-23,Vivienda unifamiliar,vivienda,1,,,,80.285,,,
22,21,detail,Bolívar Nº 443 esq Sourigues Nº 109,0100010000000118--012--,0100010000000118--012--,0,0,118,12,-58.14280150,-32.22177302,automatic,verified_close,Centro,2024-01-26,Apart Hotel,turistico,,21,,,,,1404.71,
23,22,detail,San Martín N° 144 esq 3 de Febrero,0100010000000200--027--,0100010000000200--027--,0,0,200,27,-58.13673766,-32.21912158,automatic,verified_close,Centro,2024-01-31,Local gastronómico,comercial,,,1,,,,,28.9
25,24,detail,René Favaloro Nº 680,0100011020910571--001--,0100011020910571--001--,102,91,571,1,-58.13615095,-32.23484688,automatic,missing_address_point,Urbano,2024-02-14,Vivienda unifamiliar,vivienda,,1,,,,,56.07,
26,25,detail,Piamonte Nº 505 esq M. M. Lima,0100011010490382--001--,0100011010490382--001--,101,49,382,1,-58.16017649,-32.22368282,automatic,verified_nearby,Urbana,2024-02-14,Galpón / Depósito,galpón / depósito,,1,,,,306.86,,29.59
27,26,detail,Alberdi Nº 2343,0100010113100003--049--,0100010113100003--049--,11,310,3,49,-58.16752200,-32.23255328,automatic,missing_address_point,Periurbana,2024-02-14,Vivienda unifamiliar,vivienda,,1,,,,,279.76,
28,27,detail,Chacabuco N° 170,0100010000000182--019--,0100010000000182--019--,0,0,182,19,-58.13932087,-32.21739972,automatic,verified_close,URBANA,2024-02-14,Vivienda multifamiliar,vivienda,5,2,,,,,156.22,
29,28,detail,Calle Pùblica s/Nº,0100010112250006--001--,0100010112250006--001--,11,225,6,1,-58.18768909,-32.24677214,automatic,missing_address_point,Periurbana,2024-02-14,Vivienda multifamiliar,vivienda,2,,,,100.25,,,
30,29,detail,Madre y abuelas de plaza de mayo s/Nº,0100010063410001--001--,0100010063410001--001--,6,341,1,1,-58.16021766,-32.21592930,automatic,missing_address_point,Periurbana,2024-02-14,Vivienda multifamiliar,vivienda,,2,,,68.1,,,
32,31,detail,Avda Paysandú N° 673,0100010000000579--022--,0100010000000579--022--,0,0,579,22,-58.15133737,-32.21918601,automatic,verified_close,Urbana,2024-01-03,Vivienda unifamiliar,vivienda,1,,,,94.5,,,
33,32,detail,Avda. Urquiza N° 458,0100010000000103--001--,0100010000000103--001--,0,0,103,1,-58.14086447,-32.22422082,automatic,verified_close,Centro,2024-01-03,Local comercial,comercial,,,1,,,,,48.83
34,33,detail,San Martìn Nº 1284 (antes 1274),0100010000000297--011--,0100010000000297--011--,0,0,297,11,-58.15573425,-32.23291551,automatic,verified_close,Urbana,2024-01-03,Local comercial,comercial,3,1,,,148.85,,,32.64
35,34,detail,12 de Abril Nº 195 esq Lavalle,0100010000000185--008--,0100010000000185--008--,0,0,185,8,-58.13715489,-32.21997503,automatic,verified_close,Centro,,Cancha - Local comercial,comercial,,,1,,,,,
36,35,detail,Rocamora Nº 925 y 927,0100010000000488--010--,0100010000000488--010--,0,0,488,10,-58.15494809,-32.22301421,automatic,verified_close,Urbana,2024-03-13,Vivienda multifamiliar,vivienda,,3,,,,,139.97,
37,36,detail,Combatientes de Malvinas Nº 503 y Vergniaud Nº 103,0100011010630437--001--,0100011010630437--001--,101,63,437,1,-58.15871411,-32.22257465,automatic,missing_address_point,Urbana,2024-03-14,Vivienda multifamiliar,vivienda,,3,,,,,234.585,
38,37,detail,Laprida Nº 117,0100010000000169--002--,0100010000000169--002--,0,0,169,2,-58.13591471,-32.22187259,automatic,verified_close,Centro,2024-04-04,Vivienda unifamiliar,vivienda,,1,,,,,159.05,
40,39,detail,Benteveo s/Nº,0100010101370000--016--,0100010101370000--016--,10,137,0,16,-58.20951413,-32.25427683,automatic,missing_address_point,Periurbana,2024-10-04,Vivienda unifamiliar,vivienda,1,,,,44.67,,,
41,40,detail,Calle Pùblica s/Nº,0100010162230006--005--,0100010162230006--005--,16,223,6,5,-58.18171745,-32.25823447,automatic,missing_address_point,Periurbana,2024-10-04,Vivienda unifamiliar,vivienda,1,,,,91.25,,,
42,41,detail,Chacabuco Nº 1085,0100010000000404--035--,0100010000000404--035--,0,0,404,35,-58.15475141,-32.22791567,automatic,verified_close,Urbana,2024-10-04,Vivienda unifamiliar,vivienda,,1,,,,,47.825,
43,42,detail,Gouchón N° 10,,,,,,,,,automatic,missing_cadastral_point,Urbana,2024-12-04,Vivienda multifamiliar + Local comercial,vivienda,,,,,,,,
44,43,detail,Balcarce Nº 674,0100010000000715--004--,0100010000000715--004--,0,0,715,4,-58.14887061,-32.21190333,automatic,verified_close,Urbana,2024-04-15,Vivienda multifamiliar,vivienda,3,,,,25.015,,,
45,44,detail,Alberdi N° 70,,,,,,,,,automatic,missing_cadastral_point,Prioridad Turística,,,sin destino,,,,,,,,
46,45,detail,Calle Privadas s/Nº - Los Bretes,0100010170030002--020--,0100010170030002--020--,17,3,2,20,-58.13334416,-32.24332158,automatic,missing_address_point,Urbana,2024-04-16,Vivienda unifamiliar,vivienda,,1,,,,,181.105,
